symbol,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time,source,has_interest_component
DOGEUSDT,0.13712178,0.13721463,0.13725845,1.6e-06,0.0001,1768723200000,1768710732001,binance,True
CHESSUSDT,0.03002622,0.0300525,0.03007942,5e-05,0.0001,1768723200000,1768710732001,binance,True
VETUSDT,0.011613,0.01162334,0.01164545,0.0001,0.0001,1768723200000,1768710732001,binance,True
SANTOSUSDT,2.404,2.40870866,2.39436180,5e-05,0.0001,1768723200000,1768710732001,binance,True
ACEUSDT,0.2872,0.28799052,0.28667916,5e-05,0.0001,1768723200000,1768710732001,binance,True
TRUUSDT,0.01019678,0.01020171,0.01023122,1.173e-05,0.0001,1768723200000,1768710732001,binance,True
ETHFIUSDT,0.73060332,0.73178478,0.73007425,5e-05,0.0001,1768723200000,1768710732001,binance,True
HYPERUSDT,0.1335,0.13370606,0.13389650,5e-05,0.0001,1768723200000,1768710732001,binance,True
AAVEUSDC,173.34,173.47123651,173.64982371,-5.304e-05,0.0001,1768723200000,1768710732001,binance,True
TACUSDT,0.00419395,0.00419351,0.00419674,5e-05,0.0001,1768723200000,1768710732001,binance,True
ALICEUSDT,0.18393939,0.18393143,0.18393113,0.0001,0.0001,1768723200000,1768710732001,binance,True
RESOLVUSDT,0.0770556,0.07719725,0.07713860,5e-05,0.0001,1768723200000,1768710732001,binance,True
OBOLUSDT,0.0286503,0.02865037,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
TWTUSDT,0.9445,0.94525625,0.94722464,5e-05,0.0001,1768723200000,1768710732001,binance,True
STOUSDT,0.11331,0.11407677,0.11191978,-0.00035721,0.0001,1768712400000,1768710732001,binance,True
DOODUSDT,0.0052883,0.00530653,0.00530949,-3.108e-05,0.0001,1768723200000,1768710732001,binance,True
ETHWUSDT,0.55054775,0.55004118,0.55084072,5e-05,0.0001,1768723200000,1768710732001,binance,True
FIDAUSDT,0.03551349,0.03554024,0.03558652,2.876e-05,0.0001,1768723200000,1768710732001,binance,True
ETHUSDC,3308.11019118,3309.82047154,3314.08564482,4.807e-05,0.0001,1768723200000,1768710732001,binance,True
TOWNSUSDT,0.00652753,0.00653013,0.00654650,5e-05,0.0001,1768723200000,1768710732001,binance,True
PROVEUSDT,0.4054,0.40633628,0.40752437,5e-05,0.0001,1768723200000,1768710732001,binance,True
MLNUSDT,4.89,4.90816,4.90775131,5e-05,0.0001,1768723200000,1768710732001,binance,True
PORT3USDT,0.00399291,0.00399291,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
ICNTUSDT,0.4405,0.44174364,0.44168654,-0.00023606,0.0001,1768723200000,1768710732001,binance,True
MILKUSDT,0.00293664,0.002932,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
GMXUSDT,7.95,7.963,7.97181510,6.958e-05,0.0001,1768723200000,1768710732001,binance,True
LINKUSDT,13.669,13.67966558,13.69070479,1.482e-05,0.0001,1768723200000,1768710732001,binance,True
EGLDUSDT,6.65517611,6.66753055,6.64183584,-1.076e-05,0.0001,1768723200000,1768710732001,binance,True
RAREUSDT,0.02848042,0.02856714,0.02841322,-0.0029798,0.0001,1768723200000,1768710732001,binance,True
REIUSDT,0.0037674,0.0037674,0.00000000,0.0,0.0,0,1768710732001,binance,True
FHEUSDT,0.14650464,0.14607143,0.14491608,0.00077073,0.0001,1768723200000,1768710732001,binance,True
1000SATSUSDT,1.864e-05,1.864e-05,0.00001865,5e-05,0.0001,1768723200000,1768710732001,binance,True
ATAUSDT,0.0194,0.01948574,0.01950318,-0.00018483,0.0001,1768723200000,1768710732001,binance,True
ILVUSDT,6.583,6.58581279,6.61258585,-5.263e-05,0.0001,1768723200000,1768710732001,binance,True
BTCUSDC,95027.2,95073.19040312,95121.78348788,3.539e-05,0.0001,1768723200000,1768710732001,binance,True
MAVIAUSDT,0.06049762,0.060495,0.06054752,5e-05,0.0001,1768723200000,1768710732001,binance,True
IPUSDT,2.66041884,2.67934714,2.68374582,-0.00335552,0.0001,1768723200000,1768710732001,binance,True
TRUSTUSDT,0.1086,0.10857913,0.10863704,5e-05,0.0001,1768723200000,1768710732001,binance,True
XPINUSDT,0.002352,0.00234709,0.00234905,5e-05,0.0001,1768723200000,1768710732001,binance,True
ADAUSDT,0.394,0.39429739,0.39444545,1.7e-05,0.0001,1768723200000,1768710732001,binance,True
GMTUSDT,0.01869,0.01871956,0.01883351,-0.0004201,0.0001,1768723200000,1768710732001,binance,True
WIFUSDT,0.3741,0.3741129,0.37506315,-2.09e-05,0.0001,1768723200000,1768710732001,binance,True
SOLVUSDT,0.01287538,0.01287804,0.01288763,5e-05,0.0001,1768723200000,1768710732001,binance,True
BAKEUSDT,0.012312,0.012312,0.00000000,0.0,0.0,0,1768710732001,binance,True
HMSTRUSDT,0.0002506,0.00025069,0.00025078,5e-05,0.0001,1768723200000,1768710732001,binance,True
AMBUSDT,9.032e-05,9.032e-05,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
CUDISUSDT,0.03108,0.03098021,0.03095251,5e-05,0.0001,1768723200000,1768710732001,binance,True
SKLUSDT,0.0106049,0.01061855,0.01062434,5e-05,0.0001,1768723200000,1768710732001,binance,True
HIFIUSDT,0.04455556,0.04455556,0.00000000,0.0,0.0,0,1768710732001,binance,True
SKYAIUSDT,0.04119076,0.04108755,0.04082057,0.00016062,0.0001,1768723200000,1768710732001,binance,True
USTCUSDT,0.00722,0.00722345,0.00723336,5e-05,0.0001,1768723200000,1768710732001,binance,True
KEYUSDT,0.00055633,0.00055633,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
