ticker,rate,price,effectiveAtHeight,effectiveAt,fundingTime,fundingRate,markPrice,symbol,source,type,has_interest,interest_per_interval
ETH-USD,0.000000625,3225.858554,63251471,2025-11-13T23:00:00.281Z,2025-11-13 23:00:00.281000+00:00,6.25e-07,3225.858554,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000015125,3230.534732,63257152,2025-11-14T00:00:00.354Z,2025-11-14 00:00:00.354000+00:00,-1.5125e-05,3230.534732,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000001375,3198.016225,63262792,2025-11-14T01:00:00.565Z,2025-11-14 01:00:00.565000+00:00,-1.375e-06,3198.016225,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.0000005,3205.121888,63268401,2025-11-14T02:00:00.680Z,2025-11-14 02:00:00.680000+00:00,-5e-07,3205.121888,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.0000025,3236.577672,63274027,2025-11-14T03:00:00.431Z,2025-11-14 03:00:00.431000+00:00,2.5e-06,3236.577672,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00000175,3226.789385,63279604,2025-11-14T04:00:00.187Z,2025-11-14 04:00:00.187000+00:00,-1.75e-06,3226.789385,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.0000005,3160.445963,63285326,2025-11-14T05:00:00.665Z,2025-11-14 05:00:00.665000+00:00,-5e-07,3160.445963,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000000125,3192.991401,63290972,2025-11-14T06:00:00.090Z,2025-11-14 06:00:00.090000+00:00,1.25e-07,3192.991401,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.0000015,3222.503249,63296810,2025-11-14T07:00:00.246Z,2025-11-14 07:00:00.246000+00:00,-1.5e-06,3222.503249,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00000575,3214.469696,63302615,2025-11-14T08:00:00.189Z,2025-11-14 08:00:00.189000+00:00,-5.75e-06,3214.469696,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000006375,3204.028791,63308390,2025-11-14T09:00:00.419Z,2025-11-14 09:00:00.419000+00:00,-6.375e-06,3204.028791,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000001625,3155.513345,63314057,2025-11-14T10:00:00.208Z,2025-11-14 10:00:00.208000+00:00,-1.625e-06,3155.513345,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000000125,3176.637008,63319747,2025-11-14T11:00:00.080Z,2025-11-14 11:00:00.080000+00:00,-1.25e-07,3176.637008,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000000125,3144.736579,63325395,2025-11-14T12:00:00.193Z,2025-11-14 12:00:00.193000+00:00,1.25e-07,3144.736579,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000003125,3126.348962,63331126,2025-11-14T13:00:00.241Z,2025-11-14 13:00:00.241000+00:00,3.125e-06,3126.348962,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000021125,3118.074773,63336801,2025-11-14T14:00:00.092Z,2025-11-14 14:00:00.092000+00:00,2.1125e-05,3118.074773,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00001825,3198.27121,63342592,2025-11-14T15:00:00.415Z,2025-11-14 15:00:00.415000+00:00,1.825e-05,3198.27121,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000004125,3194.593244,63348233,2025-11-14T16:00:00.185Z,2025-11-14 16:00:00.185000+00:00,4.125e-06,3194.593244,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00001375,3229.438224,63353899,2025-11-14T17:00:00.029Z,2025-11-14 17:00:00.029000+00:00,1.375e-05,3229.438224,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000000875,3177.209116,63359498,2025-11-14T18:00:00.219Z,2025-11-14 18:00:00.219000+00:00,8.75e-07,3177.209116,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000013125,3166.301138,63365115,2025-11-14T19:00:00.220Z,2025-11-14 19:00:00.220000+00:00,1.3125e-05,3166.301138,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000049,3206.745952,63370732,2025-11-14T20:00:00.333Z,2025-11-14 20:00:00.333000+00:00,4.9e-05,3206.745952,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.0000025,3133.34999,63376387,2025-11-14T21:00:00.159Z,2025-11-14 21:00:00.159000+00:00,-2.5e-06,3133.34999,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000033375,3165.297761,63382029,2025-11-14T22:00:00.370Z,2025-11-14 22:00:00.370000+00:00,3.3375e-05,3165.297761,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000053,3156.022444,63387711,2025-11-14T23:00:00.578Z,2025-11-14 23:00:00.578000+00:00,5.3e-05,3156.022444,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00001725,3109.252597,63393403,2025-11-15T00:00:00.315Z,2025-11-15 00:00:00.315000+00:00,1.725e-05,3109.252597,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00001525,3139.34246,63399096,2025-11-15T01:00:00.192Z,2025-11-15 01:00:00.192000+00:00,1.525e-05,3139.34246,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00002375,3172.546462,63404792,2025-11-15T02:00:00.319Z,2025-11-15 02:00:00.319000+00:00,2.375e-05,3172.546462,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000020375,3189.973705,63410580,2025-11-15T03:00:00.224Z,2025-11-15 03:00:00.224000+00:00,2.0375e-05,3189.973705,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000019375,3178.218712,63416325,2025-11-15T04:00:00.304Z,2025-11-15 04:00:00.304000+00:00,1.9375e-05,3178.218712,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000009625,3170.012062,63422107,2025-11-15T05:00:00.298Z,2025-11-15 05:00:00.298000+00:00,9.625e-06,3170.012062,ETH-USD,dydx,DEX,False,0.0
